Show,Season,Premiered,Name,Profile,Winner,Runner(s)-Up,Proposal,Success,Wiki Data,Birthday,Height
Bachelor,1,3/25/02,Alex Michel,Management consultant,Amanda Marsh,Trista Rehn,No,No,No,8/10/70,"6'0"""
Bachelor,2,9/25/02,Aaron Buerge,Vice President of a chain of family-owned banks,Helene Eksterowicz,Brooke Smith,Yes,No,No,4/22/74,"6'0"""
Bachelorette,1,1/8/03,Trista Rehn,Physical therapist,Ryan Sutter,Charlie Maher,Yes,Yes,No,10/28/72,"5'2"""
Bachelor,3,3/24/03,Andrew Firestone,Sales manager of Firestone Family estates,Jen Schefft,Kirsten Buschbacher,Yes,No,No,7/10/75,?
Bachelor,4,9/24/03,Bob Guiney,Creator of a mortgage company and former suitor on The Bachelorette,Estella Gardinier,Kelly Jo Kuharski,No,No,No,5/8/71,"6'5"""
Bachelorette,2,1/14/04,Meredith Phillips,Makeup artist,Ian Mckee,Matthew Hickl,Yes,No,Yes,9/13/74,"5'10"""
Bachelor,5,4/7/04,Jesse Palmer,Canadian American college football player,Jessica Bowlin,Tara Huckeby,No,No,Yes,10/5/78,"6'2"""
Bachelor,6,9/22/04,Byron Velvick,Pro bass fisherman and divorced father,Mary Delgado,Tanya Michel,Yes,No,No,6/24/64,"6'2"""
Bachelorette,3,1/10/05,Jennifer Schefft,Publicist,None,Jerry Ferris and John Paul Merritt,No,No,No,?,"5'3"""
Bachelor,7,3/28/05,Charlie O'Connell,Actor,Sarah Brice,Krisily Kennedy,No,No,No,4/21/75,"6'3"""
Bachelor,8,1/9/06,Travis Lane Stork,Medical doctor,Sarah Stone,Moana Dixon,No,No,No,3/9/72,"6'4"""
Bachelor,9,10/3/06,Prince Lorenzo Borghese,Cosmetics entrepreneur,Jennifer Wilson,Sadie Murray,No,No,Yes,6/9/72,"5'11"""
Bachelor,10,4/2/07,Andrew Baldwin,US Naval Officer,Tessa Horst,Bevin Nicole Powers,Yes,No,Yes,2/5/77,"6'0"""
Bachelor,11,9/24/07,Brad Womack,Bar owner,None,DeAnna Pappas and Jenni Croft,No,No,Yes,11/10/72,"6'1"""
Bachelor,12,3/17/08,Matt Grant,Global financier,Shayne Lamas,Chelsea Wanstrath,Yes,No,Yes,7/17/80,"6'5"""
Bachelorette,4,5/19/08,DeAnna Pappas,Real estate agent,Jesse Csincsak,Jason Mesnick,Yes,No,Yes,11/20/81,"5'8"""
Bachelor,13,1/5/09,Jason Mesnick,"Account executive, single father, and former suitor on The Bachelorette",Melissa Rycroft,Molly Malaney,Yes,Yes,Yes,7/5/76,"6'0"""
Bachelorette,5,5/18/09,Jillian Harris,Interior designer,Ed Swiderski,Kiptyn Locke,Yes,No,Yes,12/30/79,"5'2"""
Bachelor,14,1/4/10,Jake Pavelka,Commercial pilot and former suitor on The Bachelorette,Vienna Girardi,Tenley Molzahn,Yes,No,Yes,1/27/78,"5'10"""
Bachelorette,6,5/24/10,Ali Fedotowsky,Advertising account manager,Roberto Martinez,Chris Lambton,Yes,No,Yes,9/16/84,"5'7"""
Bachelor,15,1/3/11,Brad Womack,Returning Bachelor (see above),Emily Maynard,Chantal O'Brien,Yes,No,Yes,11/10/72,"6'1"""
Bachelorette,7,5/23/11,Ashley Hebert,Dental student,J.P. Rosenbaum,Ben Flajnik,Yes,Yes,Yes,1/1/85,"5'2"""
Bachelor,16,1/2/12,Ben Flajnik,Winemaker and former suitor on The Bachelorette,Courtney Robertson,Lindzi Cox,Yes,No,Yes,9/10/82,"6'2"""
Bachelorette,8,5/14/12,Emily Maynard,Children's hospital event planner,Jef Holm,"Arie Luyendyk, Jr.",Yes,No,Yes,2/1/86,"5'4"""
Bachelor,17,1/7/13,Sean Lowe,Entrepreneur and former suitor on The Bachelorette,Catherine Giudici,Lindsay Yenter,Yes,Yes,Yes,11/16/83,"6'3"""
Bachelorette,9,5/27/13,Desiree Hartsock,Bridal stylist,Chris Siegfried,Drew Kenney,Yes,Yes,Yes,7/1/86,"5'6"""
Bachelor,18,1/6/14,Juan Pablo Galavis,"Former pro soccer player, former suitor on The Bachelorette",Nikki Ferrell,Clare Crawley,No,No,Yes,8/5/81,"5'11"""
Bachelorette,10,5/19/14,Andi Dorfman,Assistant District Attorney,Josh Murray,Nick Viall,Yes,No,Yes,4/3/87,"5'5"""
Bachelor,19,1/5/15,Chris Soules,Farmer and former suitor on The Bachelorette,,,,,Yes,11/6/81,"6'1"""